id,scores
0,0.383019
1,0.386115
2,0.406981
3,0.360517
4,0.369573
5,0.378592
6,0.358807
7,0.383178
8,0.351367
9,0.372804
10,0.365932
11,0.374364
12,0.413911
13,0.379354
14,0.350967
15,0.376041
16,0.381143
17,0.370720
18,0.359360
19,0.358854
20,0.425187
21,0.401602
22,0.353265
23,0.359089
24,0.370479
25,0.408517
26,0.352745
27,0.413967
28,0.442437
29,0.358669
30,0.391972
31,0.391944
32,0.368393
33,0.364617
34,0.380379
35,0.373577
36,0.374956
37,0.386901
38,0.376735
39,0.364132
40,0.349672
41,0.367988
42,0.355387
43,0.352375
44,0.368375
45,0.367136
46,0.366231
47,0.383019
48,0.364651
49,0.379669
50,0.367150
51,0.427520
52,0.393828
53,0.363587
54,0.378664
55,0.382879
56,0.433095
57,0.359207
58,0.396604
59,0.360922
60,0.432931
61,0.363054
62,0.371325
63,0.429929
64,0.389686
65,0.375464
66,0.378723
67,0.355041
68,0.430434
69,0.396971
70,0.365612
71,0.371098
72,0.349423
73,0.371353
74,0.369742
75,0.386872
76,0.395700
77,0.358085
78,0.355885
79,0.380212
80,0.381223
81,0.384945
82,0.407145
83,0.380530
84,0.377283
85,0.374486
86,0.406136
87,0.371722
88,0.412224
89,0.385059
90,0.385544
91,0.387954
92,0.360965
93,0.371406
94,0.367122
95,0.386209
96,0.358366
97,0.373329
98,0.365016
99,0.351913
100,0.367302
101,0.387176
102,0.350744
103,0.364536
104,0.352560
105,0.360077
106,0.372897
107,0.385147
108,0.441073
109,0.385035
110,0.379216
111,0.444257
112,0.348100
113,0.362723
114,0.426300
115,0.366340
116,0.366729
117,0.413846
118,0.381564
119,0.417674
120,0.417895
121,0.463612
122,0.387386
123,0.387092
124,0.348084
125,0.366776
126,0.381293
127,0.385857
128,0.354479
129,0.374673
130,0.366284
131,0.380091
132,0.356293
133,0.357655
134,0.395694
135,0.393306
136,0.368947
137,0.362919
138,0.380484
139,0.368450
140,0.358501
141,0.374751
142,0.363744
143,0.386572
144,0.371443
145,0.377302
146,0.383861
147,0.369684
148,0.356707
149,0.401749
150,0.380666
151,0.380109
152,0.351195
153,0.354756
154,0.382875
155,0.378184
156,0.405208
157,0.389522
158,0.385942
159,0.393117
160,0.358323
161,0.407232
162,0.363621
163,0.374935
164,0.417577
165,0.381793
166,0.363235
167,0.371068
168,0.372956
169,0.382110
170,0.370619
171,0.393558
172,0.380936
173,0.367977
174,0.348734
175,0.378154
176,0.370423
177,0.358530
178,0.399329
179,0.403569
180,0.355656
181,0.410329
182,0.377510
183,0.367381
184,0.353449
185,0.396976
186,0.381251
187,0.420143
188,0.376816
189,0.399138
190,0.399862
191,0.372340
192,0.388966
193,0.395710
194,0.383037
195,0.360296
196,0.408259
197,0.373314
198,0.394414
199,0.383763
200,0.356820
201,0.361711
202,0.372787
203,0.394839
204,0.367423
205,0.362238
206,0.428773
207,0.389861
208,0.352156
209,0.432318
210,0.369469
211,0.353798
212,0.359458
213,0.416084
214,0.402827
215,0.390524
216,0.385906
217,0.362694
218,0.378217
219,0.384990
220,0.447597
221,0.394376
222,0.439474
223,0.373503
224,0.374229
225,0.381728
226,0.371851
227,0.358729
228,0.386569
229,0.437052
230,0.361877
231,0.354027
232,0.362346
233,0.396899
234,0.383177
235,0.388462
236,0.385704
237,0.369148
238,0.373569
239,0.376498
240,0.357357
241,0.410026
242,0.403134
243,0.374299
244,0.395773
245,0.377950
246,0.431541
247,0.355103
248,0.364804
249,0.436353
250,0.388613
251,0.353567
252,0.391156
253,0.433661
254,0.377026
255,0.398687
256,0.363560
257,0.370652
258,0.354424
259,0.376813
260,0.392503
261,0.377838
262,0.386493
263,0.379515
