"iforestRScore.id","iforestRScore.average_depth","iforestRScore.anomaly_score"
1,12.879,0.41837569503592
2,12.665,0.424477400751799
3,13.39,0.40415815024658
4,14.592,0.372590735210414
5,13.535,0.4002125421805
6,12.55,0.427793032249894
7,14.633,0.371558599364706
8,12.541,0.428053606580431
9,14.75,0.368628930448514
10,13.438,0.40284772956135
11,13.556,0.399644311501987
12,14.217,0.382165047865895
13,12.584,0.426810071048002
14,12.644,0.425080940135448
15,14.59,0.372641156576993
16,13.502,0.401107108901722
17,13.136,0.411163750002101
18,12.487,0.429620389053324
19,13.629,0.397675302913087
20,13.811,0.392808407536094
21,13.42,0.403338638666287
22,12.662,0.424563568170943
23,13.59,0.398726029007536
24,14.261,0.381029042089772
25,13.116,0.411720502104588
26,12.409,0.431893649201879
27,13.78,0.39363315535833
28,12.931,0.416906331637671
29,13.367,0.404787569922875
30,14.12,0.384681402066219
31,12.682,0.423989448937117
32,13.364,0.404869740375625
33,13.274,0.407342625545503
34,13.44,0.402793221000798
35,13.051,0.413535158291488
36,13.496,0.40126997209459
37,13.836,0.39214454720386
38,12.665,0.424477400751799
39,13.358,0.405034131325448
40,13.306,0.406461651807743
41,14.724,0.369277965258346
42,12.967,0.41589210416067
43,14.038,0.386821548624418
44,13.746,0.394539708754658
45,13.255,0.407866606879116
46,13.21,0.409110305483944
47,12.139,0.439855913887399
48,14.091,0.385436926481424
49,13.067,0.413087732975687
50,12.729,0.422643322813471
51,13.163,0.410413328718758
52,12.571,0.427185642177474
53,12.717,0.42298660775534
54,13.416,0.403447810792656
55,13.051,0.413535158291488
56,12.414,0.431747567255782
57,12.787,0.420988035692773
58,13.491,0.401405741935301
59,13.827,0.392383407575952
60,14.572,0.373095256037444
61,13.088,0.412501221814604
62,13.376,0.404541158612654
63,13.282,0.407122203262393
64,12.488,0.429591322510947
65,12.899,0.417809943399433
66,14.145,0.384031276665438
67,13.558,0.399590236389844
68,13.573,0.399184906203426
69,13.287,0.406984499909121
70,13.085,0.412584958111553
71,14.022,0.387240524400593
72,13.742,0.394646499264698
73,14.726,0.369227998958792
74,12.679,0.424075517303759
75,13.353,0.405171174770802
76,12.873,0.418545569864861
77,12.643,0.425109701501222
78,14.496,0.375018673531643
79,14.264,0.380951710232691
80,13.915,0.390054113923817
81,12.385,0.432595530860249
82,12.77,0.42147253330584
83,13.009,0.414711956816129
84,13.004,0.41485227475725
85,13.595,0.398591165541994
86,12.818,0.420105973394669
87,13.436,0.40290224549835
88,13.026,0.414235230725316
89,12.434,0.431163733405914
90,12.859,0.418942212750187
91,12.768,0.421529569670667
92,13.261,0.40770106631421
93,13.119,0.411636941253553
94,12.854,0.419083961999939
95,13.139,0.411080302146847
96,13.336,0.405637469416769
97,14.134,0.384317196367669
98,12.644,0.425080940135448
99,13.344,0.405417969832104
100,14.29,0.380282157906077
101,14.133,0.384343199621201
102,13.168,0.410274512188637
103,14.931,0.36414215169466
104,13.562,0.399482108114968
105,14.826,0.366738285038739
106,14.302,0.379973530786265
107,13.274,0.407342625545503
108,12.674,0.42421900340897
109,12.2,0.438044292018237
110,13.556,0.399644311501987
111,13.539,0.400104245510991
112,12.599,0.426377130025154
113,14.563,0.373322513237163
114,14.446,0.3762894842815
115,12.631,0.425454989717763
116,13.28,0.407177297648573
117,13.004,0.41485227475725
118,12.734,0.422500369660037
119,12.257,0.436358209234579
120,12.438,0.431047061409363
121,13.096,0.41227800809869
122,12.535,0.428227410972173
123,13.473,0.401894893838191
124,13.43,0.40306583757802
125,14.714,0.369527898200817
126,13.079,0.412752481703422
127,13.052,0.413507180016925
128,13.06,0.413283421954336
129,14.432,0.376646082361875
130,13.187,0.409747437447978
131,13.357,0.405061536305776
132,12.73,0.422614728313848
133,13.855,0.391640763811576
134,13.803,0.393021080107917
135,14.43,0.376697052524025
136,12.786,0.421016520128884
137,13.57,0.399265939335149
138,14.246,0.381415936910344
139,13.067,0.413087732975687
140,13.415,0.403475108441084
141,13.932,0.389605732897226
142,13.839,0.392064959396293
143,13.266,0.40756316716866
144,12.968,0.41586396642378
145,12.147,0.439617897930564
146,13.577,0.399076887610044
147,12.603,0.426261753273378
148,13.419,0.403365928928028
149,13.515,0.400754465378495
150,12.943,0.416567981289937
151,13.543,0.399995978146332
152,13.273,0.407370186720664
153,14.715,0.36950289729633
