True,iforestPythonScore
0,0.4528927159951655
1,0.4333504588296725
2,0.41640186367121956
3,0.4277173020905266
4,0.4253094852487103
5,0.4129173455045145
6,0.43230236432049246
7,0.45138774383369257
8,0.4398998200021342
9,0.42732815774120636
10,0.427791142034628
11,0.44601323301137474
12,0.4225386365837963
13,0.42362951360104073
14,0.43795808857779595
15,0.42377157429926693
16,0.4830443295172694
17,0.45027418082456727
18,0.4671832926963758
19,0.4353190205404556
20,0.5041987960069523
21,0.480633429546724
22,0.43681232745375415
23,0.5061403123435008
24,0.4523381191806475
25,0.4436754618708589
26,0.41039489063368273
27,0.43565125971548574
28,0.41784041269733335
29,0.4031320790119119
30,0.42366156654599396
31,0.4169703021546692
32,0.4190060149728124
33,0.4136496873019828
34,0.4363519208466271
35,0.40633750109656336
36,0.4170163747652389
37,0.4456603207499643
38,0.4127504492867094
39,0.4074058351474829
40,0.4972854913605844
41,0.48009674244686185
42,0.41934147824459156
43,0.43406638755899146
44,0.5095740182658931
45,0.4161233118049677
46,0.43396044502166475
47,0.4130224262682903
48,0.49504883057934734
49,0.5065051623139517
50,0.43510984370423894
51,0.48190969415117757
52,0.47006527917270186
53,0.5054973761057
54,0.5167055469582138
55,0.4153461158660706
56,0.5046764919406429
57,0.4077823696167624
58,0.42181130950190193
59,0.44003441049892394
60,0.431214823828332
61,0.46919802969429547
62,0.47620350680743034
63,0.5106463437486778
64,0.44240884863608726
65,0.45125252426517076
66,0.45919899783130463
67,0.43095603867976884
68,0.4327044761221798
69,0.4192544214203833
70,0.44024228782101804
71,0.43752728659080947
72,0.4170003623165747
73,0.44558357991265335
74,0.4205869954626285
75,0.4613010912623101
76,0.46828329460869955
77,0.44838909823537587
78,0.4261578500083627
79,0.5332386814952284
80,0.44282464037782165
81,0.4106607662701835
82,0.41986137068649615
83,0.4848469723804702
84,0.4478206319482418
85,0.5591069295526672
86,0.41297065891126483
87,0.44449236580698703
88,0.4548466733882103
89,0.4450629395171817
90,0.441030643826106
91,0.4222392675404488
92,0.4565884052254439
93,0.45800863363804944
94,0.42698685343416865
95,0.41172639133052563
96,0.4147047458355976
97,0.4565576595916056
98,0.44767363266540194
99,0.45483065643387993
100,0.45521523774413175
101,0.4433675308628589
102,0.43763349461109746
103,0.519884736866879
104,0.49974914402508785
105,0.4255067281675974
106,0.4885701658021499
107,0.49121857469431784
108,0.4877777057185525
109,0.4936887252583224
110,0.5442863681864712
111,0.4584940187683207
112,0.44189998837049654
113,0.43839942971762785
114,0.4289862609255998
115,0.4119967055943373
116,0.47474494973816583
117,0.4562029474535457
118,0.4878040265703184
119,0.45067114289035604
120,0.44120222872041837
121,0.43700954258614005
122,0.5195194667817851
123,0.49506771806056293
124,0.5163898215479602
125,0.4489331843847885
126,0.4247197776400357
127,0.5771426312107835
128,0.4471619815113426
129,0.4281559126302496
130,0.4426867320188559
131,0.4300821529853606
