id,scores
0,0.369809
1,0.350142
2,0.368737
3,0.392903
4,0.392150
5,0.363020
6,0.360785
7,0.349215
8,0.360501
9,0.372443
10,0.349117
11,0.359149
12,0.433386
13,0.348519
14,0.377810
15,0.351147
16,0.374777
17,0.373085
18,0.392804
19,0.413111
20,0.372187
21,0.386505
22,0.377389
23,0.357841
24,0.371799
25,0.358042
26,0.366090
27,0.401582
28,0.363715
29,0.377768
30,0.366613
31,0.381995
32,0.359727
33,0.359505
34,0.354824
35,0.381623
36,0.354706
37,0.382766
38,0.348287
39,0.367457
40,0.379109
41,0.373520
42,0.371138
43,0.371136
44,0.393831
45,0.383951
46,0.356613
47,0.374447
48,0.350461
49,0.378162
50,0.389952
51,0.413807
52,0.373104
53,0.371660
54,0.375404
55,0.403636
56,0.396541
57,0.356068
58,0.383675
59,0.376195
60,0.385942
61,0.383798
62,0.384581
63,0.397793
64,0.446269
65,0.361553
66,0.364883
67,0.364577
68,0.363684
69,0.356831
70,0.380298
71,0.363899
72,0.364779
73,0.364266
74,0.364581
75,0.360644
76,0.380765
77,0.348681
78,0.381158
79,0.373847
80,0.368372
81,0.365583
82,0.427087
83,0.366714
84,0.359013
85,0.412111
86,0.388435
87,0.401661
88,0.388900
89,0.370525
90,0.396724
91,0.367457
92,0.362843
93,0.389322
94,0.353981
95,0.367314
96,0.359882
97,0.354000
98,0.374418
99,0.421926
100,0.385399
101,0.393172
102,0.408501
103,0.357297
104,0.360366
105,0.362213
106,0.361167
107,0.375775
108,0.403429
109,0.351772
110,0.383224
111,0.397010
112,0.350414
113,0.363790
114,0.385967
115,0.362150
116,0.392914
117,0.413443
118,0.426691
119,0.430822
120,0.407762
121,0.350561
122,0.380013
123,0.382864
124,0.361543
125,0.360631
126,0.387026
127,0.363120
128,0.387806
129,0.381483
130,0.367910
131,0.381101
132,0.356935
133,0.385526
134,0.395551
135,0.358566
136,0.377146
137,0.381320
138,0.361000
139,0.356278
140,0.366498
141,0.355874
142,0.384104
143,0.370803
144,0.365664
145,0.381557
146,0.384363
147,0.360088
148,0.362475
149,0.370398
150,0.355988
151,0.377067
152,0.365050
153,0.367781
154,0.351116
155,0.369644
156,0.371538
157,0.383929
158,0.391632
159,0.352559
160,0.357474
161,0.369144
162,0.352631
163,0.351038
164,0.358837
165,0.364665
166,0.366798
167,0.382330
168,0.395629
169,0.365650
170,0.361068
171,0.354704
172,0.351570
173,0.360670
174,0.358377
175,0.393057
176,0.356781
177,0.415670
178,0.361727
179,0.383634
180,0.369268
181,0.362160
182,0.357790
183,0.437755
184,0.410093
185,0.375012
186,0.360190
187,0.363344
188,0.384463
189,0.384008
190,0.367979
191,0.359512
192,0.353800
193,0.371112
194,0.369972
195,0.347403
196,0.362125
197,0.359363
198,0.357465
199,0.353724
200,0.395120
201,0.389363
202,0.369981
203,0.357975
204,0.376436
205,0.360114
206,0.359331
207,0.371678
208,0.396495
209,0.362773
210,0.354456
211,0.358829
212,0.372548
213,0.358705
214,0.391877
215,0.347085
216,0.368557
217,0.352605
218,0.378109
219,0.357530
220,0.352394
221,0.351880
222,0.368948
223,0.350215
224,0.361934
225,0.352810
226,0.355804
227,0.385990
228,0.393049
229,0.395009
230,0.387401
231,0.365924
232,0.392826
233,0.358514
